,pert_id,pert_iname,pcl_id,pcl_name,pcl_type,pcl_source,pcl_criteria
225,BRD-M16762496,PIK-75,CP_PI3K_INHIBITOR,PI3K inhibitor,CP,Broad_moa,MoA
226,BRD-K99818283,PIK-90,CP_PI3K_INHIBITOR,PI3K inhibitor,CP,Broad_moa,MoA
227,BRD-A41692738,TGX-221,CP_PI3K_INHIBITOR,PI3K inhibitor,CP,Broad_moa,MoA
228,BRD-K10466330,AVA,CP_NUCLEOPHOSMIN_INHIBITOR,Nucleophosmin inhibitor,CP,Broad_moa,MoA
229,BRD-K61691971,avrainvillamide-analog-1,CP_NUCLEOPHOSMIN_INHIBITOR,Nucleophosmin inhibitor,CP,Broad_moa,MoA
230,BRD-K42573370,avrainvillamide-analog-2,CP_NUCLEOPHOSMIN_INHIBITOR,Nucleophosmin inhibitor,CP,Broad_moa,MoA
231,BRD-K39569857,avrainvillamide-analog-3,CP_NUCLEOPHOSMIN_INHIBITOR,Nucleophosmin inhibitor,CP,Broad_moa,MoA
232,BRD-K25079130,avrainvillamide-analog-4,CP_NUCLEOPHOSMIN_INHIBITOR,Nucleophosmin inhibitor,CP,Broad_moa,MoA
233,BRD-A70731303,avrainvillamide-analog-5,CP_NUCLEOPHOSMIN_INHIBITOR,Nucleophosmin inhibitor,CP,Broad_moa,MoA
234,BRD-K50324045,avrainvillamide-analog-6,CP_NUCLEOPHOSMIN_INHIBITOR,Nucleophosmin inhibitor,CP,Broad_moa,MoA
235,BRD-A35108200,dexamethasone,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
236,BRD-A93424738,dexamethasone-acetate,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
237,BRD-A80638690,floxuridine,CP_DNA_SYNTHESIS_INHIBITOR,DNA synthesis inhibitor,CP,Broad_moa,MoA
238,BRD-K66788707,fludarabine,CP_DNA_SYNTHESIS_INHIBITOR,DNA synthesis inhibitor,CP,Broad_moa,MoA
239,BRD-A48237631,mitomycin-c,CP_DNA_SYNTHESIS_INHIBITOR,DNA synthesis inhibitor,CP,Broad_moa,MoA
240,BRD-K94441233,mevastatin,CP_HMGCR_INHIBITOR,HMGCR inhibitor,CP,Broad_moa,MoA
241,BRD-K30097969,pitavastatin,CP_HMGCR_INHIBITOR,HMGCR inhibitor,CP,Broad_moa,MoA
242,BRD-K82941592,rosuvastatin,CP_HMGCR_INHIBITOR,HMGCR inhibitor,CP,Broad_moa,MoA
243,BRD-A81772229,simvastatin,CP_HMGCR_INHIBITOR,HMGCR inhibitor,CP,Broad_moa,MoA
244,BRD-K30697463,desoximetasone,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
245,BRD-A35108200,dexamethasone,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
246,BRD-A93424738,dexamethasone-acetate,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
247,BRD-U88459701,atorvastatin,CP_HMGCR_INHIBITOR,HMGCR inhibitor,CP,Broad_moa,MoA
248,BRD-K81169441,cerivastatin,CP_HMGCR_INHIBITOR,HMGCR inhibitor,CP,Broad_moa,MoA
249,BRD-K66296774,fluvastatin,CP_HMGCR_INHIBITOR,HMGCR inhibitor,CP,Broad_moa,MoA
250,BRD-K09416995,lovastatin,CP_HMGCR_INHIBITOR,HMGCR inhibitor,CP,Broad_moa,MoA
251,BRD-K94441233,mevastatin,CP_HMGCR_INHIBITOR,HMGCR inhibitor,CP,Broad_moa,MoA
252,BRD-K30097969,pitavastatin,CP_HMGCR_INHIBITOR,HMGCR inhibitor,CP,Broad_moa,MoA
253,BRD-K82941592,rosuvastatin,CP_HMGCR_INHIBITOR,HMGCR inhibitor,CP,Broad_moa,MoA
254,BRD-A81772229,simvastatin,CP_HMGCR_INHIBITOR,HMGCR inhibitor,CP,Broad_moa,MoA
255,BRD-K30697463,desoximetasone,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
256,BRD-A35108200,dexamethasone,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
257,BRD-A93424738,dexamethasone-acetate,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
258,CGS001-5430,POLR2A,KD_RNA_POLYMERASE_ENZYMES,RNA Polymerase Enzymes LOF,LOF,Broad_moa,MoA
259,CGS001-5432,POLR2C,KD_RNA_POLYMERASE_ENZYMES,RNA Polymerase Enzymes LOF,LOF,Broad_moa,MoA
260,CGS001-5433,POLR2D,KD_RNA_POLYMERASE_ENZYMES,RNA Polymerase Enzymes LOF,LOF,Broad_moa,MoA
261,CGS001-5434,POLR2E,KD_RNA_POLYMERASE_ENZYMES,RNA Polymerase Enzymes LOF,LOF,Broad_moa,MoA
262,CGS001-5435,POLR2F,KD_RNA_POLYMERASE_ENZYMES,RNA Polymerase Enzymes LOF,LOF,Broad_moa,MoA
263,CGS001-5438,POLR2I,KD_RNA_POLYMERASE_ENZYMES,RNA Polymerase Enzymes LOF,LOF,Broad_moa,MoA
264,CGS001-5440,POLR2K,KD_RNA_POLYMERASE_ENZYMES,RNA Polymerase Enzymes LOF,LOF,Broad_moa,MoA
265,BRD-K38003476,clocortolone-pivalate,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
266,BRD-K94070024,depomedrol,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
267,BRD-K30697463,desoximetasone,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
268,BRD-A35108200,dexamethasone,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
269,BRD-A93424738,dexamethasone-acetate,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
270,BRD-A90131694,alclometasone,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
271,BRD-A16478930,amcinonide,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
272,BRD-A17448384,beclometasone,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
273,BRD-K97810537,beclomethasone-dipropionate,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
274,BRD-A02180903,betamethasone,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
275,BRD-A92177080,betamethasone-acetate,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
276,BRD-A82238138,budesonide,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
277,BRD-A26095496,clobetasol,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
278,BRD-K38003476,clocortolone-pivalate,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
279,BRD-K94070024,depomedrol,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
280,BRD-K30697463,desoximetasone,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
281,BRD-A35108200,dexamethasone,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
282,BRD-A93424738,dexamethasone-acetate,CP_GLUCOCORTICOID_RECEPTOR_AGONIST,Glucocorticoid receptor agonist,CP,Broad_moa,MoA
283,CGS001-51182,HSPA14,KD_HEAT_SHOCK_70KDA_PROTEINS,Heat shock 70kDa proteins LOF,LOF,Broad_moa,MoA
284,CGS001-3309,HSPA5,KD_HEAT_SHOCK_70KDA_PROTEINS,Heat shock 70kDa proteins LOF,LOF,Broad_moa,MoA
285,CGS001-3313,HSPA9,KD_HEAT_SHOCK_70KDA_PROTEINS,Heat shock 70kDa proteins LOF,LOF,Broad_moa,MoA
286,CGS001-10525,HYOU1,KD_HEAT_SHOCK_70KDA_PROTEINS,Heat shock 70kDa proteins LOF,LOF,Broad_moa,MoA
287,BRD-K92093830,doxorubicin,CP_TOPOISOMERASE_INHIBITOR,Topoisomerase inhibitor,CP,Broad_moa,MoA
288,BRD-K85985071,ellipticine,CP_TOPOISOMERASE_INHIBITOR,Topoisomerase inhibitor,CP,Broad_moa,MoA
289,BRD-K04548931,epirubicin,CP_TOPOISOMERASE_INHIBITOR,Topoisomerase inhibitor,CP,Broad_moa,MoA
290,BRD-K37798499,etoposide,CP_TOPOISOMERASE_INHIBITOR,Topoisomerase inhibitor,CP,Broad_moa,MoA
291,BRD-K69650333,idarubicin,CP_TOPOISOMERASE_INHIBITOR,Topoisomerase inhibitor,CP,Broad_moa,MoA
292,BRD-K08547377,irinotecan,CP_TOPOISOMERASE_INHIBITOR,Topoisomerase inhibitor,CP,Broad_moa,MoA
293,BRD-K21680192,mitoxantrone,CP_TOPOISOMERASE_INHIBITOR,Topoisomerase inhibitor,CP,Broad_moa,MoA
294,BRD-K83794624,pirarubicin,CP_TOPOISOMERASE_INHIBITOR,Topoisomerase inhibitor,CP,Broad_moa,MoA
295,BRD-K56334280,amonafide,CP_TOPOISOMERASE_INHIBITOR,Topoisomerase inhibitor,CP,Broad_moa,MoA
296,BRD-K98490050,amsacrine,CP_TOPOISOMERASE_INHIBITOR,Topoisomerase inhibitor,CP,Broad_moa,MoA
297,BRD-A30437061,camptothecin,CP_TOPOISOMERASE_INHIBITOR,Topoisomerase inhibitor,CP,Broad_moa,MoA
298,BRD-A80960055,celastrol,CP_TOPOISOMERASE_INHIBITOR,Topoisomerase inhibitor,CP,Broad_moa,MoA
299,BRD-K43389675,daunorubicin,CP_TOPOISOMERASE_INHIBITOR,Topoisomerase inhibitor,CP,Broad_moa,MoA
300,BRD-K92093830,doxorubicin,CP_TOPOISOMERASE_INHIBITOR,Topoisomerase inhibitor,CP,Broad_moa,MoA
301,BRD-K85985071,ellipticine,CP_TOPOISOMERASE_INHIBITOR,Topoisomerase inhibitor,CP,Broad_moa,MoA
302,BRD-K04548931,epirubicin,CP_TOPOISOMERASE_INHIBITOR,Topoisomerase inhibitor,CP,Broad_moa,MoA
303,BRD-K37798499,etoposide,CP_TOPOISOMERASE_INHIBITOR,Topoisomerase inhibitor,CP,Broad_moa,MoA
304,BRD-K69650333,idarubicin,CP_TOPOISOMERASE_INHIBITOR,Topoisomerase inhibitor,CP,Broad_moa,MoA
305,BRD-K08547377,irinotecan,CP_TOPOISOMERASE_INHIBITOR,Topoisomerase inhibitor,CP,Broad_moa,MoA
306,BRD-K21680192,mitoxantrone,CP_TOPOISOMERASE_INHIBITOR,Topoisomerase inhibitor,CP,Broad_moa,MoA
307,BRD-K83794624,pirarubicin,CP_TOPOISOMERASE_INHIBITOR,Topoisomerase inhibitor,CP,Broad_moa,MoA
308,BRD-K12906962,dichlorobenzamil,CP_T_TYPE_CALCIUM_CHANNEL_BLOCKER,T-type calcium channel blocker,CP,Broad_moa,MoA
309,BRD-K17743697,KB-R7943,CP_T_TYPE_CALCIUM_CHANNEL_BLOCKER,T-type calcium channel blocker,CP,Broad_moa,MoA
310,BRD-K09549677,mibefradil,CP_T_TYPE_CALCIUM_CHANNEL_BLOCKER,T-type calcium channel blocker,CP,Broad_moa,MoA
311,BRD-K78122587,NNC-55-0396,CP_T_TYPE_CALCIUM_CHANNEL_BLOCKER,T-type calcium channel blocker,CP,Broad_moa,MoA
312,BRD-K15409150,penfluridol,CP_T_TYPE_CALCIUM_CHANNEL_BLOCKER,T-type calcium channel blocker,CP,Broad_moa,MoA
313,BRD-K43164539,cholic-acid,CP_BILE_ACID,Bile acid,CP,Broad_moa,MoA
314,BRD-K20986251,lithocholic-acid,CP_BILE_ACID,Bile acid,CP,Broad_moa,MoA
315,BRD-K81062487,taurocholic-acid,CP_BILE_ACID,Bile acid,CP,Broad_moa,MoA
316,BRD-K33572481,taurodeoxycholic-acid,CP_BILE_ACID,Bile acid,CP,Broad_moa,MoA
317,BRD-K80970344,pyrrolidine-dithiocarbamate,CP_NFKB_PATHWAY_INHIBITOR,NFkB pathway inhibitor,CP,Broad_moa,MoA
318,BRD-K02265150,amoxapine,CP_NOREPINEPHRINE_REPUTAKE_INHIBITOR,Norepinephrine reputake inhibitor,CP,Broad_moa,MoA
319,BRD-K38436528,imipramine,CP_NOREPINEPHRINE_REPUTAKE_INHIBITOR,Norepinephrine reputake inhibitor,CP,Broad_moa,MoA
320,BRD-K03319035,maprotiline,CP_NOREPINEPHRINE_REPUTAKE_INHIBITOR,Norepinephrine reputake inhibitor,CP,Broad_moa,MoA
321,BRD-A19195498,trimipramine,CP_NOREPINEPHRINE_REPUTAKE_INHIBITOR,Norepinephrine reputake inhibitor,CP,Broad_moa,MoA
322,BRD-K98548675,parthenolide,CP_NFKB_PATHWAY_INHIBITOR,NFkB pathway inhibitor,CP,Broad_moa,MoA
323,BRD-K80970344,pyrrolidine-dithiocarbamate,CP_NFKB_PATHWAY_INHIBITOR,NFkB pathway inhibitor,CP,Broad_moa,MoA
324,BRD-A79465854,auranofin,CP_NFKB_PATHWAY_INHIBITOR,NFkB pathway inhibitor,CP,Broad_moa,MoA
325,BRD-K15025317,BAY-11-7082,CP_NFKB_PATHWAY_INHIBITOR,NFkB pathway inhibitor,CP,Broad_moa,MoA
326,BRD-K74305673,IKK-2-inhibitor-V,CP_NFKB_PATHWAY_INHIBITOR,NFkB pathway inhibitor,CP,Broad_moa,MoA
327,BRD-K78599730,manumycin-a,CP_NFKB_PATHWAY_INHIBITOR,NFkB pathway inhibitor,CP,Broad_moa,MoA
328,BRD-A45889380,mepacrine,CP_NFKB_PATHWAY_INHIBITOR,NFkB pathway inhibitor,CP,Broad_moa,MoA
329,BRD-K98548675,parthenolide,CP_NFKB_PATHWAY_INHIBITOR,NFkB pathway inhibitor,CP,Broad_moa,MoA
330,BRD-K80970344,pyrrolidine-dithiocarbamate,CP_NFKB_PATHWAY_INHIBITOR,NFkB pathway inhibitor,CP,Broad_moa,MoA
331,CGS001-6906,SERPINA7,KD_SERPIN_PEPTIDASE_INHIBITORS,Serpin peptidase inhibitors LOF,LOF,Broad_moa,MoA
332,CGS001-5055,SERPINB2,KD_SERPIN_PEPTIDASE_INHIBITORS,Serpin peptidase inhibitors LOF,LOF,Broad_moa,MoA
333,CGS001-5268,SERPINB5,KD_SERPIN_PEPTIDASE_INHIBITORS,Serpin peptidase inhibitors LOF,LOF,Broad_moa,MoA
334,CGS001-5269,SERPINB6,KD_SERPIN_PEPTIDASE_INHIBITORS,Serpin peptidase inhibitors LOF,LOF,Broad_moa,MoA
335,BRD-A19195498,trimipramine,CP_TRICYCLIC_ANTIDEPRESSANT,Tricyclic antidepressant,CP,Broad_moa,MoA
336,BRD-A01320529,salmeterol,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
337,BRD-A50157456,terbutaline-hemisulfate,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
338,BRD-K52989797,clomipramine,CP_TRICYCLIC_ANTIDEPRESSANT,Tricyclic antidepressant,CP,Broad_moa,MoA
339,BRD-K60762818,desipramine,CP_TRICYCLIC_ANTIDEPRESSANT,Tricyclic antidepressant,CP,Broad_moa,MoA
340,BRD-K03319035,maprotiline,CP_TRICYCLIC_ANTIDEPRESSANT,Tricyclic antidepressant,CP,Broad_moa,MoA
341,BRD-K91263825,nortriptyline,CP_TRICYCLIC_ANTIDEPRESSANT,Tricyclic antidepressant,CP,Broad_moa,MoA
342,BRD-K42098891,protriptyline,CP_TRICYCLIC_ANTIDEPRESSANT,Tricyclic antidepressant,CP,Broad_moa,MoA
343,BRD-A19195498,trimipramine,CP_TRICYCLIC_ANTIDEPRESSANT,Tricyclic antidepressant,CP,Broad_moa,MoA
344,BRD-A01320529,salmeterol,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
345,BRD-A50157456,terbutaline-hemisulfate,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
346,CGS001-3065,HDAC1,KD_HISTONE_DEACETYLASES,Histone deacetylases LOF,LOF,Broad_moa,MoA
347,CGS001-83933,HDAC10,KD_HISTONE_DEACETYLASES,Histone deacetylases LOF,LOF,Broad_moa,MoA
348,CGS001-79885,HDAC11,KD_HISTONE_DEACETYLASES,Histone deacetylases LOF,LOF,Broad_moa,MoA
349,CGS001-9759,HDAC4,KD_HISTONE_DEACETYLASES,Histone deacetylases LOF,LOF,Broad_moa,MoA
350,BRD-A07780951,orciprenaline,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
351,BRD-A22684332,procaterol,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
352,BRD-A59174698,ritodrine,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
353,BRD-A01320529,salmeterol,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
354,BRD-A50157456,terbutaline-hemisulfate,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
355,BRD-K28428262,brivanib,CP_FGFR_INHIBITOR,FGFR inhibitor,CP,Broad_moa,MoA
356,BRD-K85402309,dovitinib,CP_FGFR_INHIBITOR,FGFR inhibitor,CP,Broad_moa,MoA
357,BRD-K91696562,orantinib,CP_FGFR_INHIBITOR,FGFR inhibitor,CP,Broad_moa,MoA
358,BRD-K97764662,PD-173074,CP_FGFR_INHIBITOR,FGFR inhibitor,CP,Broad_moa,MoA
359,BRD-A16700644,isoxsuprine,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
360,BRD-A07780951,orciprenaline,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
361,BRD-A22684332,procaterol,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
362,BRD-A59174698,ritodrine,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
363,BRD-A01320529,salmeterol,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
364,BRD-A50157456,terbutaline-hemisulfate,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
365,BRD-A36267905,buphenine,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
366,BRD-A65440446,cimaterol,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
367,BRD-A78322124,dobutamine,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
368,BRD-A97104540,fenoterol,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
369,BRD-M00539986,formoterol,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
370,BRD-A16700644,isoxsuprine,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
371,BRD-A07780951,orciprenaline,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
372,BRD-A22684332,procaterol,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
373,BRD-A59174698,ritodrine,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
374,BRD-A01320529,salmeterol,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
375,BRD-A50157456,terbutaline-hemisulfate,CP_BETA_ADRENERGIC_RECEPTOR_AGONIST,Beta-adrenergic receptor agonist,CP,Broad_moa,MoA
376,CGS001-472,ATM,KD_G2_M_CHECKPOINT,G2 M Checkpoint LOF,LOF,Broad_moa,MoA
377,CGS001-891,CCNB1,KD_G2_M_CHECKPOINT,G2 M Checkpoint LOF,LOF,Broad_moa,MoA
378,CGS001-1111,CHEK1,KD_G2_M_CHECKPOINT,G2 M Checkpoint LOF,LOF,Broad_moa,MoA
379,CGS001-11200,CHEK2,KD_G2_M_CHECKPOINT,G2 M Checkpoint LOF,LOF,Broad_moa,MoA
380,BRD-K10995081,perphenazine,CP_DOPAMINE_RECEPTOR_ANTAGONIST,Dopamine receptor antagonist,CP,Broad_moa,MoA
381,BRD-K01292756,pimozide,CP_DOPAMINE_RECEPTOR_ANTAGONIST,Dopamine receptor antagonist,CP,Broad_moa,MoA
382,CGS001-5469,MED1,KD_MEDIATOR_COMPLEX,Mediator complex LOF,LOF,Broad_moa,MoA
383,CGS001-80306,MED28,KD_MEDIATOR_COMPLEX,Mediator complex LOF,LOF,Broad_moa,MoA
384,CGS001-10001,MED6,KD_MEDIATOR_COMPLEX,Mediator complex LOF,LOF,Broad_moa,MoA
385,CGS001-9443,MED7,KD_MEDIATOR_COMPLEX,Mediator complex LOF,LOF,Broad_moa,MoA
386,BRD-K20986251,lithocholic-acid,CP_VITAMIN_D_RECEPTOR_AGONIST,Vitamin D receptor agonist,CP,Broad_moa,MoA
387,BRD-K10995081,perphenazine,CP_DOPAMINE_RECEPTOR_ANTAGONIST,Dopamine receptor antagonist,CP,Broad_moa,MoA
388,BRD-K01292756,pimozide,CP_DOPAMINE_RECEPTOR_ANTAGONIST,Dopamine receptor antagonist,CP,Broad_moa,MoA
389,BRD-K93433262,alfacalcidol,CP_VITAMIN_D_RECEPTOR_AGONIST,Vitamin D receptor agonist,CP,Broad_moa,MoA
390,BRD-K77175907,calcifediol,CP_VITAMIN_D_RECEPTOR_AGONIST,Vitamin D receptor agonist,CP,Broad_moa,MoA
391,BRD-K56429665,calcipotriol,CP_VITAMIN_D_RECEPTOR_AGONIST,Vitamin D receptor agonist,CP,Broad_moa,MoA
392,BRD-A84327315,calcitriol,CP_VITAMIN_D_RECEPTOR_AGONIST,Vitamin D receptor agonist,CP,Broad_moa,MoA
393,BRD-K14550461,doxercalciferol,CP_VITAMIN_D_RECEPTOR_AGONIST,Vitamin D receptor agonist,CP,Broad_moa,MoA
394,BRD-K20986251,lithocholic-acid,CP_VITAMIN_D_RECEPTOR_AGONIST,Vitamin D receptor agonist,CP,Broad_moa,MoA
395,BRD-K10995081,perphenazine,CP_DOPAMINE_RECEPTOR_ANTAGONIST,Dopamine receptor antagonist,CP,Broad_moa,MoA
396,BRD-K01292756,pimozide,CP_DOPAMINE_RECEPTOR_ANTAGONIST,Dopamine receptor antagonist,CP,Broad_moa,MoA
397,BRD-K76617868,fasudil,CP_PKA_INHIBITOR,PKA inhibitor,CP,Broad_moa,MoA
398,BRD-A55756846,H-7,CP_PKA_INHIBITOR,PKA inhibitor,CP,Broad_moa,MoA
399,BRD-K18742343,H-8,CP_PKA_INHIBITOR,PKA inhibitor,CP,Broad_moa,MoA
400,BRD-K27737647,H-89,CP_PKA_INHIBITOR,PKA inhibitor,CP,Broad_moa,MoA
401,BRD-K70577657,H-9,CP_PKA_INHIBITOR,PKA inhibitor,CP,Broad_moa,MoA
402,BRD-K35559145,levomepromazine,CP_DOPAMINE_RECEPTOR_ANTAGONIST,Dopamine receptor antagonist,CP,Broad_moa,MoA
403,BRD-K51671335,levosulpiride,CP_DOPAMINE_RECEPTOR_ANTAGONIST,Dopamine receptor antagonist,CP,Broad_moa,MoA
404,BRD-K10995081,perphenazine,CP_DOPAMINE_RECEPTOR_ANTAGONIST,Dopamine receptor antagonist,CP,Broad_moa,MoA
405,BRD-K01292756,pimozide,CP_DOPAMINE_RECEPTOR_ANTAGONIST,Dopamine receptor antagonist,CP,Broad_moa,MoA
406,BRD-K32821942,azathioprine,CP_IMPDH_INHIBITOR,IMPDH inhibitor,CP,Broad_moa,MoA
407,BRD-K92428153,mycophenolate-mofetil,CP_IMPDH_INHIBITOR,IMPDH inhibitor,CP,Broad_moa,MoA
408,BRD-K31542390,mycophenolic-acid,CP_IMPDH_INHIBITOR,IMPDH inhibitor,CP,Broad_moa,MoA
409,CGS001-1974,EIF4A2,KD_EIF_PROTEINS,EIF Proteins LOF,LOF,Broad_moa,MoA
410,CGS001-1975,EIF4B,KD_EIF_PROTEINS,EIF Proteins LOF,LOF,Broad_moa,MoA
411,CGS001-1977,EIF4E,KD_EIF_PROTEINS,EIF Proteins LOF,LOF,Broad_moa,MoA
412,BRD-K35559145,levomepromazine,CP_DOPAMINE_RECEPTOR_ANTAGONIST,Dopamine receptor antagonist,CP,Broad_moa,MoA
413,BRD-K51671335,levosulpiride,CP_DOPAMINE_RECEPTOR_ANTAGONIST,Dopamine receptor antagonist,CP,Broad_moa,MoA
414,BRD-K10995081,perphenazine,CP_DOPAMINE_RECEPTOR_ANTAGONIST,Dopamine receptor antagonist,CP,Broad_moa,MoA
415,BRD-K01292756,pimozide,CP_DOPAMINE_RECEPTOR_ANTAGONIST,Dopamine receptor antagonist,CP,Broad_moa,MoA
416,CGS001-8892,EIF2B2,KD_EIF_PROTEINS,EIF Proteins LOF,LOF,Broad_moa,MoA
417,CGS001-8891,EIF2B3,KD_EIF_PROTEINS,EIF Proteins LOF,LOF,Broad_moa,MoA
418,CGS001-8893,EIF2B5,KD_EIF_PROTEINS,EIF Proteins LOF,LOF,Broad_moa,MoA
419,CGS001-8894,EIF2S2,KD_EIF_PROTEINS,EIF Proteins LOF,LOF,Broad_moa,MoA
420,CGS001-1974,EIF4A2,KD_EIF_PROTEINS,EIF Proteins LOF,LOF,Broad_moa,MoA
421,CGS001-1975,EIF4B,KD_EIF_PROTEINS,EIF Proteins LOF,LOF,Broad_moa,MoA
422,CGS001-1977,EIF4E,KD_EIF_PROTEINS,EIF Proteins LOF,LOF,Broad_moa,MoA
423,BRD-K35559145,levomepromazine,CP_DOPAMINE_RECEPTOR_ANTAGONIST,Dopamine receptor antagonist,CP,Broad_moa,MoA
424,BRD-K51671335,levosulpiride,CP_DOPAMINE_RECEPTOR_ANTAGONIST,Dopamine receptor antagonist,CP,Broad_moa,MoA
425,BRD-K10995081,perphenazine,CP_DOPAMINE_RECEPTOR_ANTAGONIST,Dopamine receptor antagonist,CP,Broad_moa,MoA
